name,short_code,type,region,district,latitude,longitude,zone
KASOTA,112892-5,private,Geita,Geita DC,-2.73938,32.17618,lake
KASOZIBAKAYA,102447-0,public,Kagera,Biharamulo DC,-2.81081,31.68854,lake
KASSOGA MEMORIAL,121153-1,private,Shinyanga,Shinyanga DC,-3.5719125,32.9324,lake
KASU,102448-8,public,Rukwa,Nkasi DC,-7.65316,31.33374,shighland
KASUBUYA,122355-1,public,Geita,Nyang'hwale DC,-3.18289,32.48942,lake
KASUGA,102449-6,public,Kigoma,Kakonko DC,-3.25927,30.90755,central
KASUGUTI,102450-4,public,Mara,Bunda DC,-2.16534,33.5821,lake
KASUKU,102451-2,public,Kigoma,Uvinza DC,-4.90331,29.74438,central
Kasulo,102452-0,public,Kagera,Ngara DC,-2.51648,30.8217,lake
Kasulu DC,124693-3,public,Kigoma,Kasulu DC,,,central
Kasulu TC,124694-1,public,Kigoma,Kasulu TC,,,central
KASULU TC,102453-8,public,Kigoma,Kasulu TC,-4.56113,30.0967,central
KASULWA,108710-5,private,Kigoma,Kigoma Ujiji MC,-4.94929,29.64658,central
KASUMO,102454-6,private,Kigoma,Buhigwe DC,-4.36226,30.10765,central
KASUNGAMILE,102456-1,public,Mwanza,Sengerema DC,-2.58995,32.7167,lake
KASUNGAMILE MAGEREZA,123062-2,public,Mwanza,Sengerema DC,-2.67541,32.57665,lake
KASUNGU,112467-6,public,Tabora,Kaliua DC,-5.011027,31.788824,central
KASYABONE,102458-7,private,Mbeya,Busokelo DC,-9.39949,33.86813,shighland
KATAHOKA,102459-5,public,Kagera,Biharamulo DC,-2.73532,31.39751,lake
KATALA,122529-1,private,Dar Es Salaam,Ilala MC,-6.95199,39.13097,coastal
KATANDA,121360-2,public,Kagera,Karagwe DC,-1.38309,31.15686,lake
KATANDALA,102460-3,private,Rukwa,Sumbawanga MC,-7.951357,31.620793,shighland
KATANGA,102461-1,public,Kigoma,Kakonko DC,-3.45169,30.6753,central
Katani,102463-7,public,Rukwa,Nkasi DC,-7.70237,31.2866,shighland
KATAPULO,102464-5,public,Rukwa,Kalambo DC,-8.16851,31.3547,shighland
KATARE,102466-0,public,Kagera,Bukoba DC,-1.08723,31.8374,lake
KATAVI,121927-8,public,Katavi,Mpanda MC,-6.31372,31.09003,shighland
KATAZI,102467-8,public,Rukwa,Kalambo DC,-8.53029,31.7441,shighland
KATE,102468-6,public,Rukwa,Nkasi DC,-7.85349,31.17794,shighland
KATE VA,102469-4,private,Rukwa,Nkasi DC,-7.860027,31.175091,shighland
KATEMBE,120654-9,private,Mwanza,Ilemela MC,-2.49849,32.91116,lake
KATEMBE,121046-7,public,Kagera,Muleba DC,-2.218998,31.657843,lake
KATENDE,102470-2,public,Geita,Chato DC,-2.70833,31.67925,lake
KATENGE,120564-0,public,Njombe,Wanging'ombe DC,-8.81956,34.76862,shighland
KATERA,122886-5,public,Kagera,Kyerwa DC,-1.26165,30.68547,lake
